utterances,labels
I'm looking for a guesthouse to stay in with free wifi.,find+stay+details
"Hi, I am looking for a guesthouse with free parking. Can you help me?",find+stay+details
I'm looking to get some information on the worth house hotel.,stay+request_info
Any part of town just a guesthouse with free parking and free wifi.,find+stay+details
"Hmm, well how about checking for a hotel instead that is expensive with free parking and wifi?",find+stay+details
It's just one night for 4 people.,find+stay+details
"I actually am looking for a guesthouse, not a hotel.",find+stay+details
Is there a guesthouse that might be in the cheaper price range in the same area?,find+stay+details
Hi I am looking for a hotel called finches bed and breakfast,find+stay+details
Hi I'm looking for lodging in Cambridge that includes free wifi and is upscale and expensive,find+stay+details
What about in the centre? A cheap 4 star hotel that includes free parking,find+stay+details
"Yes, please recommend one that can accommodate 8 people for 2 nights starting on Thursday",find+stay+details
"No particular price range, but I would like it to be a 4 star hotel.",find+stay+details
"actually i want a guesthouse, specifically",find+stay+details
I am also looking for a place to stay. I need a guesthouse with free wifi.,find+stay+details
"That is all, I anticipate my stay in Cambridge with baited breath now, Have a great day.",find+stay+details
Can you book that for 7 people for 5 nights starting on friday?,book+stay+details
"Thank you, I need to book for 7 people and 3 nights starting on thursday. Can they set that up for me.",book+stay+details
I need to book the room for 3 people starting on Sunday for 4 nights.,book+stay+details
"Ok, can you book me for 2 nights on wednesday for 2 people?",book+stay+details
Can you book the Allenbell for 8 people for 3 nights staring tuesday?,book+stay+details
I need to book a hotel in the east that has 4 stars.,book+stay+details
"Yes, please book this for 4 people for 3 nights starting on Thursday.",book+stay+details
I'm looking to book at a hotel call lovell lodge.,book+stay+details
"Yes, I would like to book starting Friday, for four nights and five people please.",book+stay+details
"Yes, please. Can you book a room for Sunday for 5 people, 2 nights please?",book+stay+details
"Yes, that will be great. I'll need it booked for Saturday, 3 nights, and 5 people, please?",book+stay+details
"I need the attraction type, address, and postcode plerase",attraction+request_info
"Great, thanks. Can you tell me some information on the Cambridge Arts Theatre please?",attraction+request_info
"Great, can I please have the address for All Saints church?",attraction+request_info
I don't see it. Is there any other attraction types it's listed under?,attraction+request_info
What is byard art's postcode?,attraction+request_info
"I'd like to visit a college in the centre. I'd like the entrance fee, address and phone number, as well, please.",attraction+request_info
Can I get the address and postcode for The Cambridge Church?,attraction+request_info
"Yes, what is the attraction type?",attraction+request_info
Can you give me the phone number and post code for the Cambridge Artworks?,attraction+request_info
A free church would cover a lot of my local historical interests. What is their phone number?,attraction+request_info
"I'm also looking for places to go in town. I'd like it to be of the type of architecture. I'll need an entrance fee, please?",attraction+request_info
A museum is more of my thing. Recommend one and send me the phone number please,attraction+request_info
Can I get the phone number and entrance fee of cineworld cinema?,attraction+request_info
Thanks a bunch! I couldn't have done it without you. Bye.,thanks+goodbye
No. You took care of everything. Thanks. Goodbye.,thanks+goodbye
Thanks. Goodbye.,thanks+goodbye
Thank you. Goodbye.,thanks+goodbye
I believe you've given me all the information I need. Thank you and goodbye.,thanks+goodbye
"Thanks, good bye.",thanks+goodbye
"No, the reservation is all. Goodbye.",thanks+goodbye
"You've been great. Have a great day, bye.",thanks+goodbye
Thanks for the help. I will be looking for that car. Goodbye.,thanks+goodbye
Have a wonderful day!,thanks+goodbye
"No, that's all I need today. I appreciate your help",thanks+goodbye
"Sorry, my friend was talking to me while I was trying to get all of this taken care of. I have all the information I need. Have a nice day!",thanks+goodbye
I need a taxi to meet me at my restaurant.,transportation+taxi+details
I would need a taxi now,transportation+taxi+details
"Could you also please book me a taxi from the museum to Golden Wok? I really don't want to miss my reservation, so it'll have to get there by 17:15.",transportation+taxi+details
Yes I need to book a taxi to leave the restaurant and go back to the hotel at 14:15.,transportation+taxi+details
I need a taxi to the restaurant.,transportation+taxi+details
I will also need a taxi between those places and I need the taxi to pick me up from the hotel at 5:30.,transportation+taxi+details
I would like the taxi to be here by 02:00.,transportation+taxi+details
I need a taxi to come to backstreet bistro by 19:30.,transportation+taxi+details
I also need a taxi that will leave the attraction by 20:30.,transportation+taxi+details
Okay thank you. I also need to book a taxi to leave the attraction at 5:30.,transportation+taxi+details
"Ok, great. Lastly, can you please schedule me a taxi from Cambridge Artworks to Pizza Hut Fen Ditton by my 19:45 reservation time?",transportation+taxi+details
"Actually, I do need a taxi to get to the train station. Can you look one up for me?",transportation+taxi+details
"No, thank so much for all your help.",deny+thanks
"No, that's all I need. Thank you for your help!",deny+thanks
No thank you that will be all,deny+thanks
no that is all i wanted from you today thank you,deny+thanks
"No that was all the help I needed, thank you.",deny+thanks
"No, that's everything. Thanks for the help!",deny+thanks
No that is all I need today. Thank you very much.,deny+thanks
"Nope, that was all I needed, thanks!",deny+thanks
"No, that's all I need. Thank you!",deny+thanks
"No, that would be fine. Thank you. That was all I needed for today.",deny+thanks
"No, that's perfect. Thank you for your assistance.",deny+thanks
"No, thank you for your help.",deny+thanks
What about a museum in the center?,find+attraction+details
What is a fun place to go in the west of town?,find+attraction+details
Can you tell me some information on Clare College? I was thinking of visiting there.,attraction+request_info
I want to find a museum in the centre of town please.,find+attraction+details
i am also looking for an attraction in the same area as the hotel.,find+attraction+details
Thanks for that info. I also need attractions in the same section of town as the restaurant. Do you have any boat activities?,find+attraction+details
Could you help me find a place to go? I'd like to find some architecture.,find+attraction+details
I would like information on The Cambridge Corn Exchange,attraction+request_info
I'm planning a trip to Cambridge I am looking for an attraction places to go in centre.,find+attraction+details
I was also wondering if you would be able to help me find a place to go to see some great architecture.,find+attraction+details
Can you tell me if there are any colleges close to the restaurant?,find+attraction+details
I want a museum.,find+attraction+details
I need an architecture attraction to visit in the centre.,find+attraction+details
The old schools attraction is fine.,find+attraction+details
What is the price?,request_info
What area is that in?,request_info
"I need the address, postcode and the price range.",request_info
How about 9:15?,request_info
What is their star rating?,request_info
"Can you give me the name of a popular one? I'd also like the postcode, entrance fee and phone number.",request_info
"Oh, I forgot, do they have free parking?",stay+request_info
"Great, thanks for that. Can you tell me what area of the city that's in, and what their entrance fee is?",request_info
Can i get the address and price range?,request_info
"Can I get the entrance fee and postcode, please.",request_info
Can I get the postcode of that place?,request_info
what about something cheap then?,request_info
The price doesn't matter so much but something 4 star rated would be nice.,details
I'd like something in the centre if possible.,details
I would prefer a moderately priced one please.,details
Yes. It should be in the moderate price range.,details
How about trying at 13:15 instead?,details
I prefer cheap please and thank you,details
No certain time. I just can't leave until after 16:45 on Friday.,details
"Free parking and free wifi, please.",find+stay+details
I am in wandlebury country park.,details
"Well, that is pretty early, but I think it will work.",details
"Yes, please broaden the price search.",details
yes should be in the west,details
"Yes, please, for 3 people.",details
"Yes, 7 people at 13:30 on friday.",details
I'm looking for a train to leave from stantsted airport on monday.,transportation+train+details
I am also looking for a train that leaves cambridge on sunday,transportation+train+details
"Hi, can you help me find a train out of Cambridge for my upcoming visit?",transportation+train+details
Thank you. I also need a train going to Cambridge that arrives by 13:00.,transportation+train+details
Can you please book me for the train that arrives latest. I need 8 tickets.,transportation+train+details
I need a train going to bishops stortford.,transportation+train+details
"Also, i need a train on Tuesday around 09:45.",transportation+train+details
"I want to book a train to stevenage, and I want to leave around 14:00.",transportation+train+details
Yes that train will work for me.,transportation+train+details
I am going to stansted airport on saturday and need the train to leave anytime after 15:30 please,transportation+train+details
I need to book a train for Monday going to Cambridge please.,transportation+train+details
No that won't be necessary. Can you help me find a train though? I need to go to cambridge.,transportation+train+details
I'd like to find a train from Leiceter on Saturday.,transportation+train+details
I also need a train departing from Cambridge going to London Kings Cross on Tuesday leaving after 18:00. Do you have any?,transportation+train+details
"Actually, I need a train to London Liverpool Street that arrives by 14:15.",transportation+train+details
I'll be leaving cambridge going to leicester please.,transportation+details
"Unfortunately, we can only travel on Tuesday. Thanks.",transportation+details
"I will leave the Cambridge Museum at 24:30, going to the the Finches Bed and Breakfast.",transportation+details
My destination will be ugly duckling,transportation+details
I'm leaving from ely to cambridge.,transportation+details
I would like to leave on Monday after 08:45.,transportation+details
I would like to travel on Sunday.,transportation+details
My departure site is Cambridge please.,transportation+details
I would like to leave on Wednesday after 13:45.,transportation+details
I'm coming from sesame restaurant and bar.,transportation+details
I want to leave the hotel for the restaurant by 13:00.,transportation+details
I am traveling from Stansted Airport to Cambridge.,transportation+details
i will be traveling to broxbourne and would like to leave after 20:45.,transportation+details
I am departing from Cambridge on Saturday. I would like to arrive in Stevenage by 14:00.,transportation+details
Awesome. Thank you for all your help.,thanks
Thanks for your help!,thanks
Thank you so much for your help. Have a great day.,thanks+goodbye
"That's all, thank you very much/",thanks
Thanks so much for your help,thanks
Thanks! That's all I need today. I appreciate your help.,thanks
Great. Thank you. That is all I need for today.,thanks
"That is all for now. Thank you for your help, have a great day.",thanks+goodbye
Thanks. That's all I needed to know.,thanks
"cool, thanks. i don't need anything more. see ya!",thanks+goodbye
Thank you very much for your help. That is all I need for now.,thanks
thanks for helping me out,thanks
"ok, that's all i need thanks",thanks
Not really. Is there something you can recommend?,deny+request_info
"No, I just need the address and postcode, please.",deny+request_info
"No thank you, I will just need the area and address, can you confirm both of those please?",deny+request_info
"No, but do any of them have free parking?",stay+request_info
"No, thank you. I would like the address, phone number and postcode, please.",deny+request_info
"No thanks, I just need their phone number, please.",deny+request_info
"Not really, what do you suggest? And can you provide a phone number?",deny+request_info
"No, thank you. I just need the area and phone number.",deny+request_info
No could you recommend one and can i get the postcode for it.,deny+request_info
"No, but I do want the entrance fee.",deny+request_info
No thank you. Can you just give me the postcode and phone number?,deny+request_info
No thank you. Could I get the phone number and postcode please?,deny+request_info
"No thanks, could you just give me their phone number?",deny+request_info
"Yes, and I will need the train ID as well, please.",transportation+request_info
can i get the price and time travel please,transportation+request_info
"I'd like passage for 5, please. Oh, and the reference number, too. Thanks.",transportation+request_info
I actually don't need any tickets. I just need the departure time.,transportation+request_info
"Can you please let me know what time I'll arrive at Curry Garden? I don't want to miss my reservation, it's my best friend's dirty thirty.",transportation+request_info
I need the car type and contact number.,transportation+request_info
That sounds good. How long is the train ride?,transportation+request_info
I would like to leave after 9:45. Please let me know the car type and contact number.,transportation+request_info
i want to leave the attractinon by 20:30. get me a car and contact number,transportation+request_info
Yes. I'd like to book a taxi between both places. I want to leave the hotel by 20:00. Please provide me with a contact number and car type.,transportation+request_info
"Nope, what is the travel time on the one that leaves closest to 11:15?",transportation+request_info
"No need for tickets. But can I get the arrival time, travel time and price?",transportation+request_info
"No thank you. I would like the travel time, arrival time and ticket price.",transportation+request_info
tell me about the departure and travel time,transportation+request_info
"Can you give me the price, train ID and travel time please?",transportation+request_info
I will also need the departure time please.,transportation+request_info
"That would work! Could you tell me the Train ID, Arrival Time, and Price?",transportation+request_info
What was the departure time?,transportation+request_info
"No. I require the travel time, price, and train ID.",transportation+request_info
I need 7 tickets and could you tell me the price? can I get the train number and the travel time also please?,transportation+request_info
That Will be good enough. What is the Train ID and departure time?,transportation+request_info
"That would work, can you give me the price and travel time?",transportation+request_info
Great. How much is the ticket for the train leaving at 13:11? What time does it arrive and what is the travel time?,transportation+request_info
Not yet but can I get travel time and train ID?,transportation+request_info
"Before you do, what is the price and departure time?",transportation+request_info
What is the total travel time on that one?,transportation+request_info
What is the total travel time and price on that?,transportation+request_info
I just need the departure time and price please,transportation+request_info
I would like to leave the hotel by 22:00 to go to The Gardina. Please let me know the contact number and car type.,transportation+request_info
That sounds good. I want to book a table for 7 people at 18:30 on Saturday.,book+restaurant+details
"Actually, it would be quite helpful if you'd book a table for 3 at 13:00 on Monday.",book+restaurant+details
"Yes, please book a table for 2 at Frankie and Benny's at 19:30.",book+restaurant+details
any food will be just fine.Once you find the restaurant you want to book a table for 7 people at 13:30 on friday. If the booking fails how about 12:30.,book+restaurant+details
"Yes, I would. Please reserve a table for 4 at 17:30 on Thursday.",book+restaurant+details
No I'm not ready to book a spot yet. I do need to find a place to eat in the west though.,book+restaurant+details
book a table for 7 people at 17:15 on saturday.,book+restaurant+details
I need to book a table for 5 at 13:30 on saturday,book+restaurant+details
"Yes, book me a table for 2 on Saturday at 19:45.",book+restaurant+details
Great. Can you book me a table for 5 people at 20:00 on Saturday?,book+restaurant+details
Yes. I need a table booked for 7 on saturday.,book+restaurant+details
book a table for 8 at 15:45 on sunday,book+restaurant+details
Great! Can you book me a table for 8 at 12:30 on Sunday?,book+restaurant+details
that should be fine.please book a table for 4 people at 13:30 on saturday.,book+restaurant+details
Perfect. Can you book a table for 1 at 18:30 on Sunday?,book+restaurant+details
Can you book a table for 2 at 18:00 on Sunday at the La Mimosa?,book+restaurant+details
Please book a table for 8 people at 19:15 on Wednesday.,book+restaurant+details
Please book a table at 14:30 for 4 people on Wednesday.,book+restaurant+details
"Great, can you book me a table on Sunday at 18:30 for 6 people?",book+restaurant+details
Please book a table for 7 people at 11:45 on monday.,book+restaurant+details
Can you book me a table for 5 there on Monday at 15:15?,book+restaurant+details
"Yes, please book a table for me.",book+restaurant+details
"Yes, please. Can you reserve me a table for Thursday for 8 people at 17:15?",book+restaurant+details
I would like to book a table for 7 people at 18:45 on wednesday at the dojo noodle bar please.,book+restaurant+details
"Yes, please book a table for 4 people at 14:00 on sunday. Thank you.",book+restaurant+details
"Great. I would like to book a table for 5 people at 21:00 on the same day, please.",book+restaurant+details
Could you please book me a table for 3 people at 14:30 on Tuesday?,book+restaurant+details
"Yes, I want to book a table for 19:00.",book+restaurant+details
"Great, I need a table for 3 at 18:15 on Tuesday.",book+restaurant+details
"Hi, I am trying to find out the address, business hours and basic price range of the restaurant Golden Wok in Cambridge.",restaurant+request_info
I am not particular. Can you choose one you think would be good for me and let me know the food type?,restaurant+request_info
"I don't need a table right now, but I do need the postcode and phone number for that restaurant.",restaurant+request_info
What is the price range and address for this restaurant?,restaurant+request_info
I will need the reference number and the restaurant phone number please.,restaurant+request_info
"That's perfect, thank you. Could you also give me the address for The Varsity Restaurant?",restaurant+request_info
I want Indian food. Please give me the phone number and address.,restaurant+request_info
Lets go with the Turkish one. Can I get the address and postcode please?,restaurant+request_info
"What type of food do they serve, please?",restaurant+request_info
"Yes please, also what type of food do they serve?",restaurant+request_info
What is the first available restaurant?,restaurant+request_info
I am looking for a local restaurant. May I have the phone number of one please?,restaurant+request_info
What kind of food do they serve?,restaurant+request_info
May I have the phone number and price range of the restaurant?,restaurant+request_info
Book 4 seats for me please.,book
Yes please book it for 5 people,book
"I'd like a booking there for two, at 11:45 wednesday.",book
"Yes, please book Meghna for 10:15, same day.",book
"Before I book this, what is the price?",book
That would be great. Can you book it for 6 people at 14:15 on Wednesday?,book
"Yes, that place sounds perfect. If I could book for 8 on the same day at 15:00 it would be great.",book
Can you provide me with the reference number for that booking?,book
Yes thats perfect can you book that?,book
Yes. Please book it for 6 people on Wednesday at 12:15.,book
Can you make a reservation for Saturday for 7 people at 15:15?,book
"Yes, please book it for me.",book
Perfect. Can you help me with a reservation for 6 people at 14:30 this coming sunday?,book
I want to book it for the same day as the restaurant and the same party.,book
Yes. Can you book for 1 person?,book
Yes. Please book tickets for 8.,book
Yes please book it for me.,book
That sounds great. Can you book it for me?,book
Sounds perfect. Could you make me a booking for 4 people?,book
Yes can you please book that for me?,book
yes please book it.,book
I would like you to book 4 tickets for me. Thanks.,book
"Yes, could you make a booking for 3 people?",book
Can you please book it for me?,book
Can you book it for me?,book
That would work for me. Can you book me 8 tickets please?,book
"Thank you, can you book me for that?",book
"Yes, please make me a reservation.",book
"Yes, that works. Can you book me 5 tickets please?",book
"Yes, please book that for 8 people and let me have a reference number.",book+request_info
Actually I don't need it booked right now. Can I please have the postcode and phone number?,book+request_info
I do not need to book it. What is the postcode and the area please?,book+request_info
yes ! make a booking for 2 people. Make sure you get the reference number,book+request_info
Yes. Please book space for 7 people and send me the reference number.,book+request_info
book for 5 people and get me the reference number,book+request_info
Moderately priced in the centre. I need a reservation for 4 at 13:45 on Wednesday and the reference number as well.,book+request_info
"Thats sounds perfect. But, I don't need to book today. Although, can you tell me their star rating?",book+request_info
book for 7 people and give me the reference number,book+request_info
Can you book it for me and get a reference number ?,book+request_info
Please book it and send me the reference number.,book+request_info
"Sure, can you book that for 2 people and provide my reference number?",book+request_info
Please book reservations for 1 and provide me with the reference number.,book+request_info
Yes. I need you to book it for 2 people and then give me the reference number,book+request_info
Book it for four people. Give me the reference number.,book+request_info
that is fine. book for 2 people and get me reference number,book+request_info
Yes please book it and let me have the reference number.,book+request_info
I would like to book for 6 people and I need the reference number.,book+request_info
"That is perfect, please book me for 5 people and can I have a reference number?",book+request_info
Yes please book it for me and a reference number,book+request_info
Great! Do you know what price range they are in?,affirm+request_info
Great. Can I get a contact number?,affirm+request_info
"Yes, I need their postcode and phone number.",affirm+request_info
Yes. Is there one that leaves after 11:15?,affirm+request_info
Ok no problem. Can I have the address?,affirm+request_info
Yes. What is the price?,affirm+request_info
"Yes, please and could you give me their hours of operation?",affirm+request_info
Yes I need their postcode.,affirm+request_info
"Any of those places will do then, just please provide me the phone number for one of them.",affirm+request_info
"Sure, that will work. Can you tell me more about them?",affirm+request_info
"Yes, and I need a reference number.",affirm+request_info
Yes may I have their postcode please?,affirm+request_info
"That sounds fine! Can I get their phone number, address, and postcode?",affirm+request_info
"Yes, may I have the postcode please?",affirm+request_info
"Sure, that sounds great! What is the post code and the phone number?",affirm+request_info
"Sounds wonderful! May I have their postcode, address and phone number please?",affirm+request_info
"That sounds lovely, could I get the phone number and postal code please?",affirm+request_info
Sounds great. Can I get their number?,affirm+request_info
That sounds like a nice place. What is their postcode and phone number?,affirm+request_info
"That sounds perfect. Can you tell me their address and postcode, please?",affirm+request_info
"Yes, please give me their phone number.",affirm+request_info
"Yes, can you tell me their address please?",affirm+request_info
Yes can I get the address to there please?,affirm+request_info
"Great, can I have their phone number please?",affirm+request_info
Great! Can you give me the postcode and phone number? I'd like to mark that in my notes in case I get lost.,affirm+request_info
That sounds great. Can I have the address please?,affirm+request_info
"Yes, that sounds good, and I would like the reference number, please.",affirm+request_info
"Actually, I'd like a moderate hotel in the centre with free wifi. I need to book it for 3 people for 3 nights starting Sunday. And a reference number please?",stay+request_info
Is your system able to book yet? I will need the area and phone number of the el shaddai hotel.,stay+request_info
What is the star rating of the Acorn Guest House?,stay+request_info
What about for 2 nights? I will also need the reference number when it is booked.,stay+request_info
"Okay, I need to book one of them for 1 person starting Tuesday for 2 nights. Please send me the reference number once the reservation is booked.",stay+request_info
Yes. I need to stay 4 nights with 6 people. I'll need the reference number as well.,stay+request_info
One night would work. Be sure to include my reference number.,stay+request_info
Yes book an expensive hotel for 4 nights for 3 people if you can find one. Please provide the reference number also.,stay+request_info
"No, can I please just have the post code of that hotel for now?",stay+request_info
"Can I just have the number of stars the hotel has, address and postcode please?",stay+request_info
"No preference, I need it for 2 nights starting from Monday for 3 people, and I need a reference number please.",stay+request_info
"Oops, I forgot to ask for free parking, does that include free parking?",stay+request_info
"Thank you I need to book a room for 3 people, for 3 nights starting friday and can I get the reference number?",stay+request_info
No may I just have the postcode and star rating of the hotel.,stay+request_info
"I'd like to book the room for 4 people, for 4 nights, starting Saturday. Please provide me with the reference number.",stay+request_info
Thanks a lot. Can you tell me a little about a hotel called Home From Home?,stay+request_info
Can I also get some information on Kirkwood House hotel?,stay+request_info
Thank you. Could you provide for me some information about the Aylesbray Lodge Guest House as well?,stay+request_info
I need the address of the Worth House hotel.,stay+request_info
"Yes, what can you tell me about the Aylesbray Lodge Guest House?",stay+request_info
I also need information regarding a hotel called Worth House.,stay+request_info
"Yes, please get me information about the home from home hotel",stay+request_info
Awesome! Now please get me some information on the limehouse hotel,stay+request_info
What is the hotel type and what area is it located?,stay+request_info
Can I have the address and the hotel type of Cityroomz?,stay+request_info
I'm sorry. Did you say the hotel is Cityroomz or Sleeperz? What type of hotel is it?,stay+request_info
"I want to try Scudamores Punting Museum What is their postcode and phone number, please?",attraction+request_info
"Not at this time, thanks. I am also considering visiting the Cambridge University Botanic Gardens. Can you tell me what area it is in?",attraction+request_info
Surprise me! Can you send me the postcode of the attraction you choose?,attraction+request_info
"I hear that Cambridge has a lot of nice museums, can you tell me more about that?",attraction+request_info
Alright I also heard about this place called abbey pool and astroturf pitch. What is their number and address?,attraction+request_info
"I'll take the ""Whale of a Time"", what type of attraction is that, and can I get the postcode and entrance fee please?",attraction+request_info
Can I please have the postcode for the Holy Trinity Church?,attraction+request_info
"What type of attraction is it, and what does it cost to get in?",attraction+request_info
"It doesn't really matter, maybe a museum? I'll need the entrance fee also please.",attraction+request_info
A museum would be great! Could you send me the phone number and entrance fee of one?,attraction+request_info
Great! Can I get the postcode for that museum?,attraction+request_info
What options do you have for entertainment?,attraction+request_info
"No, I want to stay in the same area. How about colleges then?",attraction+request_info
I'm looking for information in Cambridge church. Can you help?,attraction+request_info
What is the attraction type for All Saints?,attraction+request_info
Could you tell me the address of Clare college?,attraction+request_info
"Can I please have the address, phone number and postcode for Cambridge Artworks?",attraction+request_info
I am also looking for information on Clare College.,attraction+request_info
What is the attraction type?,attraction+request_info
"Yes, what type of attraction is it?",attraction+request_info
I need the postcode and attraction type?,attraction+request_info
A church is great can I have the address of the one you recommend?,attraction+request_info
Could I have the address and entrance free for Vue cinema?,attraction+request_info
what is the type of attraction and area for the whipple museum?,attraction+request_info
What attraction type is it please?,attraction+request_info
"Cambridge artworks sounds nice. Can you tell me their phone number, address, and type?",attraction+request_info
Thank you can I get another address for another college too please?,attraction+request_info
What type of attraction is the museum?,attraction+request_info
"Could you book the Wartworth for one night, 1 person?",book+stay+details
Yes please book it for 5 people and 4 nights starting from the same day.,book+stay+details
Yes! I'd like to book it for the same group of people and 5 nights starting from the same day.,book+stay+details
"I don't want to book yet, I need to first make sure that I can stay at a hotel called ""Acorn Guest House"".",book+stay+details
Yes I need reservations for 8 people for 2 nights starting from thursday.,book+stay+details
That sounds perfect please book for the same group of people for 2 nights starting on wednesday.,book+stay+details
I need to book a place to crash please.,book+stay+details
"Actually, can you please book the Alexander Bed and Breakfast instead? I'll be arriving on Saturday and need a room for 4 nights. Just one person.",book+stay+details
I would like you to book me into the hotel for tuesday for 5 nights and 2 people.,book+stay+details
I prefer the expensive hotel. Can you book it for me for the same group of people?,book+stay+details
"Yes, please. I'll need it booked on Sunday, for 5 nights, and it will only be 1 person.",book+stay+details
Yes I would like to book for 7 people and 4 nights starting from Friday.,book+stay+details
Great. Can you book it for 7 people and 4 nights starting on Friday?,book+stay+details
Yes. I need 3 rooms beginning on Tuesday for 2 nights.,book+stay+details
