utterances,labels
"Yes, that would be great.",default
Okay thank you. That is all I needed.,default
"We are looking for a place to dine, preferably expensive Italian food in the same area as the attraction. What do you suggest? I need an address and postcode please.",default
Can you book it for me and get a reference number ?,default
I do not need a reservation. I need a postcode and address only.,default
"Nope that's it, you have been oh so wonderful, thank you!",default
"Hi, I'm looking for a restaurant with modern european food. It should be in the moderate price range.",default
Doesn't really matter. Is there one in the centre?,default
Can I book De Luca Cucina and Bar for 6 people at 19:15 on saturday please?,default
Thank you so much. That is all I need for now. Have a great day.,default
I need a taxi. I'll be departing from la raza.,default
I'd like to leave after 11:45 please.,default
I'll be going to restaurant one seven.,default
"No, thats it. Thank you!",default
I'm looking for info on expensive south indian restaurants in Cambridge.,default
Are you sure? Could you please check again?,default
No how about British food instead?,default
The restaurant should be in the east.,default
"No, I just need the post code and phone number, please.",default
Yes I would like to also find a hotel called a and b guest house.,default
Could I have the address and postcode please?,default
"That is all I need, thanks.",default
"Parting is such sweet sorrow, but that I all I need, have a good day.",default
Thanks for your help today.,default
"Bye, thank you.",default
Can you see if there are any entertainment attractions in the centre of town?,default
What about a museum?,default
"Yes, that will work great. Can I get their phone number please?",default
"No, that's all I need. Thanks!",default
"Hi, I'm looking for a nightclub in town please.",default
"Okay, could you tell me he postcode and the entrance fee?",default
I would also like to eat in the center of town.,default
Are there any steakhouses in the centre?,default
Can you find something with italian food instead?,default
"That sounds great, what's the price range for Zizzi Cambridge?",default
"That sounds great, please do.",default
It will just be for me on Wednesday. I would like it to be for around 4pm.,default
I would love a taxi,default
I want to depart the restaurant at 05:00 to go to the attraction,default
"No, I believe that's all I need today. Thanks for your help.",default
"Hi, I was going to visit the centre, and wanted to know if there were any professional or semiprofessional teams playing during my visit.",default
Okay. Are there any architectural attractions?,default
"The sounds great, can I get their address and postal code?",default
what's the postcode?,default
"I am also looking for the Bloomsbury, a restaurant.",default
"Yes, I sure would. I'd like to reserve a table on Sunday at 14:00 for 6 people. Can I get the reference number?",default
Thank you that will be all.,default
"You have been great, thank you.",default
I'm looking to book a ticket for a train that leaves stevenage after 09:45.,default
"did you book the ticket and if so, how much does it cost?",default
"Yes please. I need the booking for 8 people, and I would like a reference number.",default
Thank you! I am also looking for information about the Golden Wok restaurant.,default
No thanks. But the information you gave me helps alot. Thank you so much for your help. Have a good day.,default
"Hi, I am trying to plan a trip and need some help with a train. I'm not familiar with trains at all unfortunately.",default
I'm departing from leicester and I need to leave on friday. Thank you for helping!,default
I'm going to Cambridge.,default
11 pm and I want it for three people,default
I also need a place to stay.,default
"I would like a guesthouse, rated 3 stars, in the north with free parking. I have 8 people and I want to stay for 5 nights starting on Friday.",default
Thank you. That is all I needed. Goodbye.,default
What can you tell me about christ's college?,default
Yes. Could you give me the postcode please?,default
I also need a train that goes to cambridge.,default
I'll need to arrive by 11:30. I'm leaving from Peterborough on Friday.,default
"Friday, like I just said.",default
I need to take a train FROM Peterborough TO Cambridge on Friday. I would like to arrive by 11:30 please.,default
I need to book this for 6 people please. I will also need to get the reference number. Thanks for your help!,default
"Thanks for your help, that was all I needed. Goodbye.",default
I'm interesting in info about 3-star hotels and such that offer free wifi.,default
the location doesn't matter so long as it has free wifi,default
book it for 5 people and 2 nights starting from monday.,default
Perhaps starting sunday instead?,default
No that's it all. Thanks for your help.,default
We need to find a guesthouse of moderate price.,default
I would like it to have a 3 star rating.,default
"Yes, please, for four people.",default
Four. Two nights. Beginning Saturday.,default
How about 1 night? Would that work?,default
That's all. Thank you!,default
I'm trying to find a concert hall in the east part of town.,default
How about an entertainment attraction instead?,default
Yes and can I have the phone number and address of one of attraction?,default
Thanks. That's all I need for now.,default
My friend told me about a place called the Carolina Bed and Breakfast. Do you know anything about it?,default
"Can you give me the postcode? And, do they have internet?",default
Thank you. Are there any boat attractions in the west?,default
"Yes, it is. How about a musuem?",default
"Yes, I would love the address. Thank you so much!",default
Great. That is all I need.,default
I'm looking for a place to stay in the north maybe a guesthouse.,default
"I'd like a place rated 4 stars, that offers free wifi.",default
"No I just need free internet. I also need the price range, address, and postcode of the one you find.",default
I also need a train to Birmingham new street.,default
"Friday, I am taking a half day at work to get an early weekend so after 14:00 please.",default
"Pick one please, just please give me the travel time, arrival time, and price.",default
Yes for one please.,default
Ok. Were you able to book it?,default
for one please.,default
What was to total travel time for that train booking?,default
that is all for today thanks,default
you are welcome abd have a great day,default
thanks you a lot,default
Hello. Can you suggest a french restaurant in the north end?,default
I am interested in the one in the north. Could I have their postcode and address?,default
"Yes, that will be all. Thanks.",default
"I'd like a moderately priced hotel with free parking, please.",default
Is that located in the north. I really want to stay somewhere in the north.,default
Does it also have internet access?,default
Does it include free parking?,default
"I have to discuss it with my husband, so no thanks. Can you tell me about trains leaving Monday? I need to arrive by 10:45.",default
I will be traveling from Cambridge heading to Bishops Stortford.,default
Yes that works for me. Can I have the travel time and the train ID?,default
"That will be all, thank you!",default
"am looking for a train,it should leave on sunday and should go to stansted airport",default
"Arrival time doesn't matter so much, but I want to leave after noon. Not a morning person :)",default
Thank you goodbye,default
I am looking for an expensive place to dine which serves indian food.,default
"Yes, I am looking to stay in the centre of town.",default
Any of those would be fine. I need a table for 7 at 16:00 on Saturday. Is it possible to book at one of those places?,default
I'm also looking for a train leaving Cambridge on Sunday.,default
I am looking to go to kings lynn and arrive by 8:15,default
I would like to book the 5:11 train,default
"Actually, I don't need any tickets today. But can you tell me the travel time for that train?",default
"That is all I need. Thanks, and have a nice day.",default
i am looking for the chiquito restaurant bar,default
"May I have the phone number, please?",default
Can you tell me what area they are in? I also need some help finding a train.,default
I need it to leave from Cambridge and arrive at 13:45 at London Liverpool Street on a Sunday.,default
"no but when is the departure time, so I don't miss it",default
Great! That is everything. Thanks!,default
I need information about a certain restaurant called charlie chan.,default
"Yes, could you please give me the specific address of the restaurant?",default
Maybe later. I also need to find a train to ely on Tuesday. Can you help with that?,default
I will be leaving from Cambridge and need to leave after 12:30 please.,default
"I really can't leave at that time. Like I said, I need something that leaves after 12:30.",default
Yes I would like reservations on train TR3420.,default
"One ticket please, thank you.",default
What is the travel time?,default
Thank you and goodbye.,default
I would like to book a train.,default
After 19:00 on Friday from leicester to cambridge.,default
"Yes, I think the 20:54 arrival time should work.",default
One ticket please.,default
Also can you help me with finding information on an attraction called Ballare?,default
"Wow, that was exactly what I needed. Thanks so much!",default
"That was all the questions I had, Thanks very much for helping me.",default
I am looking for a train to Cambridge on Saturday.,default
I will depart at Birmingham New Street and should arrive by 11:30. Can you help me with this?,default
"I need to get to Cambridge by 10:15 for a business meeting, can you give me some train information.",default
From Bishops Stortford on Tuesday.,default
"Not at this time, but could you give me the exact travel time please?",default
No thanks. I'm also looking for multiple sports that are in the centre.,default
How about a museum instead?,default
"Yes please. I need an address and phone number, too.",default
"Yes, that will be all. Thank you.",default
I am looking for a college in the east.,default
"I'm sorry, I meant the centre.",default
"Can you give me the address, phone number, and entrance fee for Saint Catherine's College?",default
Yes I also need a train leaving from cambridge.,default
I will travel on Sunday.,default
I would like to go to cambridge on sunday.,default
I am leaving from london liverpool street and need to arrive by 12:00 in cambridge.,default
"Yes, for me and my girl please.",default
that is all. thank you very much.,default
I'd like to find a resturant that serves cheap Chinese food!,default
"Yes, go ahead and book it and please send me the address.",default
I do not need to book it. What is the postcode and the area please?,default
Thanks very much!,default
Please tell me about a place I heard about called clare hall.,default
What is the entrance fee and the postcode?,default
i Am also looking for a particular hotel. Its name is called alpha-milton guest house,default
Yes. Saturday. 2 people for 5 nights.,default
"Yes, one more thing. We need a taxi that will take us from Clare Hall to our guesthouse.",default
We'll be leaving at 22:30.,default
Wonderful. Thanks for your help today.,default
No that is it. Thank you.,default
I would like to find a museum in the west to go to.,default
Can I have the address to the cafe jello museum?,default
Is there a moderately priced British restaurant anywhere in town?,default
"Yes, please book a table.",default
Actually I don't need it booked right now. Can I please have the postcode and phone number?,default
"That is all I needed today, thank you for your help.",default
Thank you very much!,default
I'm looking for this restaurant called pizza hut fen ditton,default
"No, but could you book a table for me? 3 people on Friday at 16:00, please.",default
I'm not sure ... let me ask my wife.,default
I also need a place to stay.,default
I want a guesthouse in the north with a moderate price range and 4 stars.,default
"Yes, that would be great. I'll need to book for Friday, 3 people, and for 3 nights.",default
"Would you check again for a guesthouse in the moderate price range, in the north with four stars, please?",default
"Yes, sounds good. Can I get the reference with that too please?",default
thank you very much,default
"Nope, that's all! Thanks!",default
"I'm visiting cambridge and want a bed and breakfast like experience, can you help me find a guesthouse with free wifi?",default
"Thank you! I would like to stay in the East part of town, please.",default
Thank you! Does it have 4 stars?,default
"Great, I also want to make sure that it has free parking.",default
What's their address and phone number?,default
thanks do you have info on a place to eat called golden house? I need to make reservations for 5 at 13:30 thurs,default
That should be everything I need. Thank you for the help!,default
I need a cab. I'm at Arbury Lodge Guesthouse and want to go to Whale of a Time.,default
i would like to leave after 13:00,default
"No, that's all I need. Thank you!",default
Thank you! I am sure I will have a fantastic time. You have a great day as well.,default
I am looking for a place to stay. The hotel should have a star of 2 and should be in the moderate price range,default
"I don't have a preference, actually. Which one do you recommend?",default
"I choose the ashley hotel. What is their address, please?",default
"No, I just need the address.",default
Ok thank you that is all I needed today.,default
Hey I am looking for a train from Cambridge to Bishops stortford. Mind helping out?,default
I want to leave on Monday and arrive by 18:45.,default
Could you give me the travel time and price of that train please?,default
I also want a cheap chinese restaurant.,default
I'd like to be in the centre please.,default
"Yes. Monday, 8 people, 10:30.",default
Thank you very much. That will be all for today. I appreciate all your help.,default
I am planning a trip in Cambridge,default
Ok I will book it for you,default
I need an expensive place to stay that's 2 stars.,default
Do any of them have free parking?,default
"Great, thanks! Which area is it in?",default
"No, thanks. I just need to now the postcode.",default
Thank you. I also need to book a train to Cambridge.,default
i am departing from london liverpool street,default
"Saturday, please. I'm thinking just a short vacation over the weekend.",default
What options do I have?,default
I need at a train that leaves after 12:30,default
"Yes, Can you please book that thank you.",default
I just need one ticket. Can you tell me what time it arrives?,default
Great. Thank you so much.,default
No. Thank you. That will be all for today. Goodbye,default
What is the address for Holy Trinity Church?,default
thank you. i wish to get entrance fee,default
"Yes, I am looking for an Indian restaurant in the east.",default
How about an expensive one. What are my choices in that range?,default
i want o book for 7 people at 18:00 on monday,default
"Yes, one more thing. I will need a taxi from Holy Trinity Church to pipasha restaurant.",default
I need to arrive by the booked time at the restaurant.,default
There will be 7 people travelling.,default
Thank you. That is all I need.,default
Can you help me find a park on the east side please?,default
Sounds great. Can I get the address and postcode for them please?,default
Great can I get a train leaving after 09:15 on friday?,default
I am leaving from Stevenage to cambridge.,default
Can make a booking for 2 people and give me a reference number please?,default
Great thanks. Goodbye,default
I am looking for a train out of kings lynn please.,default
I want to go to Cambridge.,default
I would like to leave after 14:15 on tuesday please,default
"Yes, please give me travel time.",default
"Great, that's all I need, thanks!",default
I am looking for a train to Bishops Stortford. I am departing from Cambridge.,default
"Yes, I'd like to leave on Tuesday and arrive by 19:00",default
"Yes, please. I would like 2 tickets on that train, and I will need the reference number.",default
Can you find me an restaurant near the centre that serves international food?,default
Wonderful! What is their address?,default
"Thank you very much, that's all the info I needed.",default
Yes I am looking for a place to stay in Cambridge that is 3 stars and expensive. Can you help me?,default
Do those both have 3 star ratings and are expensive?,default
Do they have free parking?,default
Not today thanks. I'm also want to find a cinema in the west part of town.,default
Are there any colleges in the West that I could visit instead?,default
What is the one that is free? Can I get the phone number and postcode?,default
"No, that just about covers it. Thanks!",default
"Hello there, I am traveling to Cambridge soon and I am looking for a play to stay in the north side of town.",default
"Yes, i need a 4 star hotel that also includes free wifi.",default
That sounds good. Do they have free parking?,default
"Great, can I get their phone number please? And I also wanted to see if you have any info on the Mumford Theatre.",default
I need to know where they are located and if they have an entrance fee please.,default
"Okay, thanks. I also need a taxi to commute between these two places. I want to leave the hotel by 11:45.",default
"Hey, what part of town is the Mumford in again?",default
"Hello, I would like information on an attraction named the Regency Gallery, thank you.",default
Just need to know what area it's in.,default
I need to book a train that will arrive in Cambridge by 9:15.,default
I would like to travel on Friday.,default
I'll be coming from Leicester.,default
How about the 8:54. Can you please book for 7 people and provide me with the reference number?,default
"Yes, that is everything I needed. Thanks for your help.",default
Please help me make a taxi reservation,default
I want to depart from the Riverside Brasserie.,default
"It doesn't matter, just so I arrive by 18:15.",default
I want to go to the Shanghai Family Restaurant. And I need the car type and contact number please.,default
No that is all. Thanks.,default
I want a train going to cambridge.,default
I am departing from Ely on Wednesday.,default
"I want to go to Cambridge, leave after 17:00.",default
"Yes, please. I will need the reference number",default
3 of us,default
I would also like to visit a nightclub in the south.,default
"Yes, I just need their postcode",default
"Ok, that's great, thank you for your help.",default
"No that's all, thanks!",default
I'd like to find an expensive place to eat in the south.,default
I really don't have a preference. How about Chinese? I will need their phone number and postcode please.,default
"No thank you, that is all I needed.",default
Hello! What time does the next train to stevenage depart?,default
That is wrong I am leaving from stevenage and going to cambridge.,default
I will be leaving Friday after 9:45.,default
Yes. I would like to book it for 5 people.,default
Thanks! I'm also looking for places to go in the town centre. Are there any multiple sports attractions?,default
"Ok, how about a college in the centre?",default
Can you provide me with the entrance fee and postcode?,default
awesome no that is all thank you,default
I need a taxi arriving by 20:00.,default
I am leaving from clare college.,default
"I need to get to the parkside police station. My boyfriend got himself arrested, again!",default
"Great, thanks for the help.",default
i am looking for a place to stay. The hotel should include free wifi and should include free parking.,default
I need something cheap and in the centre of town.,default
Could you book me a room at The Alexander Bed and Breakfast for 6 people and 2 nights starting from friday?,default
Can you please give me the confirmation number for my booking?,default
I need the phone number for a museum as well. Any one will do.,default
Hmmm I'm not sure. I think that might be everything but let me think for a second.,default
i need to book a taxi to commute between the two places.,default
thanks so much for all of your help you have been great,default
I am looking for a train that leaves on thursday going to cambridge.,default
"London kings cross, it should also leave after 16:30.",default
"Yes it will. Can you book that for just me, and provide the reference number?",default
I need one ticket and can I please have the reference number?,default
I am also looking for places to go int town. I'd love for it to be sports related in the town centre.,default
Do you have anything else that is not swimming?,default
Okay what about any type of theatre? Which is your favorite?,default
That's sounds good. Can I get their number and postcode?,default
"No, that should do it. Thanks so much for all the help. Have a good day!",default
Yes hello! I'm looking for a train leaving on tuesday from norwich to cambridge.,default
"I will travel on Tuesday to Cambridge from Norwich, and I need to arrive by 19:15.",default
"Earlier in the day is safer, thanks. I just need 1 ticket on the earliest ride.",default
"Thank you, I'm also looking for place to go in town, specifically the south. What kinds of things are there to do?",default
I would like a museum can I have the phone number and entrance fee?,default
That's all I need. Thanks.,default
Can you help me find a train? I'll be traveling on Wednesday.,default
"Oh, of course. Sorry. I'm leaving out of Leicester and going into Cambridge.",default
I want to arrive by 16:15.,default
I don't have a preference on leaving time.,default
"I need one. Departure time, travel time and train ID? Also, I need a college in the west. I need the phone number and postcode to it.",default
No that information is enough for now but I would like to find a college to visit on the west side and would appreciate their telephone and postcode.,default
Yes please give me the information on the top search.,default
"That is all, thank you for your help.",default
"Hi, I need a train on Sunday leaving peterborough.",default
I am hoping to arrive in cambridge by 12:30.,default
What is the one with the shortest travel time?,default
"Hm, I'll take any train that will let me arrive by or before 12:30.",default
"I need a hotel, one with free parking.",default
I need an expensive hotel that includes free parking.,default
I want to book this hotel for the same group of people and 3 nights starting from Sunday. I'll need a reference number please.,default
I'm sorry? Were you able to book the Express by Holiday Inn for 4 people?,default
"Ok, thank you, that's all I need for now.",default
Are there any 4-star hotels which are moderately priced?,default
A guesthouse is fine. I'm looking for a place in the north with free parking.,default
That's good. Can you book it for 3 people?,default
Starting Friday for 4 nights. There will be 3 guests.,default
"Yes, that would be fine. Is there a room available for one night?",default
That shall be all! Thank you!,default
I'm looking for something to do in the center of town.,default
I'm not sure what I want to do. What's something interesting?,default
Yes. Also I need the phone number and the amount of entrance fee. I also will be needing a train.,default
The train should go to birmingham new street and should leave on wednesday,default
"I'd like to leave after 09:45, please.",default
Yes please I need a booking for 8 people and i need a reference number for the booking.,default
"I'd like some info on a restaurant, in the centre.",default
What do you have that is expensive?,default
British cuisine is fine. Can you suggest a restaurant?,default
"Book this for 6 people on Monday at 12:30. Reference number? Also, I need a train leaving from Cambridge going to London Liverpool Street, arriving by 12:00.",default
Great. I need to go to London Liverpool street.,default
I need to leave cambridge on Tuesday. The train should arrive by 12:00.,default
Please book the train for 6 people as well. I'll also need a reference number.,default
That's all I need. Thank you for your help.,default
I am looking for a restaurant named Meghna.,default
What is the price range for Meghna?,default
"Yes, I need a train leaving Cambridge.",default
Heading to Norwich on Tuesday,default
I would like to leave after 15:16,default
"No, but I would like the price, arrival time, and travel time, please.",default
"Thank you so much for all the information! That's all I'll need today, thanks again.",default
thanks and i look forward to my stay,default
I am looking for a taxi from yu garden arriving by 14:30,default
I'd be going to holy trinity church. I'll need the car type and contact number as well.,default
nope thats all thank you,default
"I'm looking for a train ticket, do you book those?",default
I'm leaving from Cambridge and going to bishops stortford.,default
I need to book a train going to bishops stortford from Cambridge. It needs to arrive by 14:15 on saturday. I need 8 tickets. Can I please get a reference number.,default
Thank you! I'm also looking for a hotel with free parking and internet. Can you find one?,default
"The area doesn't matter, I'd like to stay at a guesthouse though.",default
"Just a couple more questions. What is the star rating? Also, I need to know the area of town and the phone number please.",default
"No, I just need the information for now. Thanks!",default
"Yes, thank you for all your help today. Goodbye.",default
"I'm looking for a place to stay in Cambridge, please.",default
"The location isn't really important. It does need to be cheap though, and preferably a guesthouse.",default
I need internet in the west.,default
what is the name of the place?,default
Yes can you please?,default
"I'm sorry, I am mistaken. I will not need you to book a reservation for me. I will need the area, address, and post code please.",default
I'm also looking for a cheap Italian place in the center of town.,default
"No, thanks! I just need their phone number, postcode, and address, please.",default
Thanks. I will also need a taxi from the hotel to the restaurant. Will you handle this?,default
I'll need to leave the hotel by 3:00.,default
Thanks for all of your help. I am all set now. Bye.,default
i'm looking for a and b guest house,default
yes book it for 4 people and 3 nights starting from thursday.,default
"Wow, thanks. Could you please also find me a college to visit in the centre area?",default
Is there one you would recommend?,default
how much is the entrance fee?,default
This is great. Thank you for your help.,default
Nope that would be it.,default
Hello. I need train to London liverpool Street.,default
"Yes, I'd like to leave Cambridge sometime after 12:15.",default
It would need to be on Thursday. Do you have anything?,default
"The 13:59 will be fine, how much will a ticket cost?",default
"And, please tell me what time the train arrives at london liverpool street.",default
"I'm also looking for things to do in town, what kind of attractions are there in the centre? I'd like the phone numbers, types, and fee information please.",default
"Any type is fine, can I just get the attraction type, entrance fee, and phone number of one?",default
That sounds like something I would enjoy. Thank you! I think you covered everything.,default
I need to book a taxi to arrive by 09:00.,default
I need to be picked up from wagamama and I'm headed to the mumford theatre.,default
Can you help me get to zizzi cambridge after 22:45?,default
Saint Johns Chop shop house.,default
That is great. Is there a contact number available?,default
"Great, thanks so much for your help!",default
"that is all, thanks",default
I'm looking for a place to go in Cambridge. Perhaps an architecture attraction.,default
"Yeah, could you recommend me one?",default
"Could you tell me what area it's in, and if there's an entrance fee?",default
Is there an entrance fee?,default
Can I get some help finding a train to Peterborough on Thursday?,default
I will be leaving from cambridge and leave anytime after 13:00,default
any time on thursday.,default
Sounds perfect. Can you book one ticket please?,default
Thanks for your help with the train and attraction. Those were my concerns. Goodbye.,default
I need a taxi to arrive by 17:30 at the cambridge punte.,default
"Yes, the Cambridge punter and I will be departing from the city stop restaurant.",default
"As I said, I am departing from the city stop restaurant.",default
Thank you so much for you help.,default
"No, there is nothing else. Bye bye.",default
I am looking for information about the Ruskin Gallery in Cambridge.,default
"Ok, great. Thank you so much for your help.",default
"Real quickly, actually. Can I get a train booked as well? For Thursday to cambridge.",default
I want to arrive by 17:45,default
I'm coming in from the london liverpool street station.,default
"Please give me the train ID of the train that arrives closest to 17:45, I don't care about departure time.",default
"Yes, thank you, you have given me the information that I needed.",default
"No, thank you. Goodbye.",default
I am looking for a restaurant in Cambridge called The Missing Sock.,default
"Yes, can you give me a phone number please?",default
I am also looking to book a train leaving after 18:30 to go to Kings lynn.,default
I'm looking for one that leaves on Tuesday after 18:30. Is there anything available?,default
Yes it does. Can you book the train for 8 people?,default
"Great that's all I needed today, thank you!",default
"I've got a particular restaurant we want to try, but I will need some help with it.",default
I'm looking for a pizza hut city centre.,default
Can I get the area of town and the price range pleas?,default
Can you find a train going to Cambridge that leaves after 19:45?,default
"Yes, departing from stevenage on wednesday. How much will that cost?",default
"No, thank you. That's all I need tonight. Thanks.",default
Have a great day. Goodbye.,default
Please see what you can find out about jesus college,default
Do you happen to have the telephone number for the college? I would like to call the main office there.,default
Thank you. I'm also looking to leave on Tuesday by train. Arrival will be Stansted Airport.,default
"I'll be departing from Cambridge. Departure time doesn't matter, I'd just like to be there by 17:45, please?",default
Can you book it for me and get a reference number ?,default
There will be 6 people traveling.,default
No I think that was it. Thank you,default
I'm looking for a place to eat in the east that is expensive.,default
How about an expensive British place? I'd like a reservation for Wednesday.,default
I would like a table at 14:00 on Wednesday for 5 people.,default
Do they have an opening at 13:00 on Wednesday for 5 people?,default
"That's all, thanks. Goodbye.",default
"Hi, I'd like some information on nightclubs located in the west please.",default
How about a college to visit in the same area.,default
What is the postcode there?,default
Yes I need a train that is departing on Wednesday from London Kings cross.,default
"Yes, I'm headed to Cambridge and need to leave after 09:30.",default
"Yes, can you book that for 2 people and give me a reference number?",default
"No, I believe that is everything today. Thank you.",default
I am traveling to Cambridge and looking forward to try local restaurants.,default
I would like to find a train first. I need one on Sunday going to kings lynn.,default
"Yes, that's correct. I need to arrive in Kings Lynn by 13:00.",default
"Yes, that should work. Could you give me the price?",default
Thanks! Can you also tell me if there are any expensive Mediterranean restaurants in the center of town?,default
La Mimosa and can you book it for me and get a reference number ?,default
"I'm sorry, I don't need it booked anymore. I just need the address, postcode, and phone number please.",default
"Hi, can you give me some information on a place to stay in Cambridge? I would prefer some place expensive.",default
"No specific area, but I would like a guesthouse, rather than a hotel. I would also like a place that's 3 stars.",default
No. Are there any three star guesthouses available at a moderate price that include free wifi?,default
How about the bridge guest house for 5 people for 2 nights starting on tuesday?,default
Great! I also need a place to dine in the east.,default
"I would love some eastern european food, please.",default
How about italian?,default
"No, I assume it is moderately priced though? If so, I just need an address, postcode and phone number.",default
"Great, I would also need a taxi to commute from Pizza Hut to the hotel.",default
"I actually need to have the taxi pick me up from the hotel to get to the restaurant. I want to leave the hotel by 07:15, please.",default
I have it. Thanks for your help.,default
